v,j,l
1,20024,56
-1,25782,205
-1,12957,132
1,29147,225
-1,16130,193
1,15311,189
-1,274,5
1,6455,243
1,6972,173
-1,28651,27
-1,20590,222
1,1760,194
1,206,42
-1,15566,102
-1,7852,186
-1,7624,95
1,9330,171
-1,4759,14
1,27630,34
-1,22387,37
-1,16491,92
-1,16616,205
-1,19941,89
1,1881,79
1,9122,96
-1,14556,215
1,9371,184
-1,15854,99
1,21245,119
1,4784,31
-1,13917,201
-1,14984,5
1,8853,23
-1,12171,218
1,318,109
1,26712,206
1,22819,18
-1,1784,22
1,30113,105
1,6066,113
-1,32541,182
1,684,239
-1,19,86
1,10029,200
-1,18186,186
-1,18240,184
1,26209,101
-1,20174,173
-1,4864,7
-1,24679,26
-1,14816,218
-1,23389,156
1,17688,46
-1,8064,226
-1,5121,49
1,21118,75
-1,3741,174
-1,19507,49
1,22027,186
-1,7992,65
1,29888,26
-1,17505,113
-1,26535,77
1,17231,130
-1,11091,234
1,4315,202
-1,10355,82
1,30415,111
1,23645,15
1,8558,145
-1,5132,51
1,21781,161
-1,3661,79
-1,13999,210
-1,11020,190
-1,17872,59
-1,32729,92
1,11870,177
-1,12957,255
1,30498,206
1,15150,55
1,12483,118
-1,25356,167
1,2446,125
1,18360,114
1,6797,35
-1,2977,169
-1,23989,186
1,3152,136
1,23455,145
1,8274,89
1,7645,108
-1,1909,165
1,10703,152
-1,7510,38
1,8995,191
1,12787,5
-1,29067,55
-1,18976,29
1,15412,160
1,30532,165
1,31426,188
-1,20654,213
-1,26639,44
-1,20011,250
1,11845,60
-1,1509,2
-1,6467,90
-1,22734,17
1,8284,197
-1,30261,147
-1,228,3
1,26826,66
-1,23937,128
-1,28345,135
-1,25059,53
-1,30604,85
1,20095,62
-1,13249,91
1,22284,29
-1,10692,83
1,717,59
-1,3054,173
1,12084,109
-1,14610,246
-1,3259,227
-1,30710,220
1,7523,48
-1,14724,100
-1,10059,129
-1,12960,191
1,885,56
1,31551,219
-1,4418,196
1,1512,255
1,8926,87
-1,17128,15
-1,1680,178
1,11379,214
-1,29652,64
1,3796,253
1,6156,186
1,5020,32
-1,20211,91
-1,1034,35
1,31467,126
-1,21976,248
1,19989,89
-1,4809,54
-1,15247,162
-1,3377,182
-1,19969,28
-1,882,12
-1,20954,94
-1,22211,236
-1,11606,236
1,589,3
-1,11412,72
-1,7807,100
-1,17590,4
1,17076,76
-1,19045,54
1,3610,228
-1,20123,69
-1,15079,52
-1,32712,170
1,21161,193
-1,26247,246
1,11493,18
-1,29020,173
1,18335,206
1,2700,15
1,10063,139
1,28192,241
1,30508,6
1,17349,162
1,17800,183
-1,15392,113
1,25167,113
1,6978,61
1,30722,237
-1,18179,137
-1,6510,109
1,7588,13
1,10859,180
-1,18303,44
1,25326,178
1,2870,39
1,19623,154
-1,16767,195
-1,20982,138
1,12589,255
-1,11303,221
-1,16635,103
-1,14470,178
1,10529,75
-1,27422,196
1,23702,57
1,13237,39
1,31733,100
1,27366,72
1,17634,193
1,3932,86
-1,13665,140
1,32389,12
1,715,98
1,2242,151
1,27159,30
1,18124,118
1,15101,121
-1,9156,229
