Archivo,Campo,Frecuencia
s01-event-statistics-single.xlsx,AOI 003,4720
s01-event-statistics-single.xlsx,AOI 002,191
s01-event-statistics-single.xlsx,AOI 001,89
s02-event-statistics-single.xlsx,AOI 003,2518
s02-event-statistics-single.xlsx,AOI 001,123
s02-event-statistics-single.xlsx,AOI 002,85
s03-event-statistics-single.xlsx,AOI 003,3850
s03-event-statistics-single.xlsx,AOI 002,159
s03-event-statistics-single.xlsx,AOI 001,6
s04-event-statistics-single.xlsx,AOI 003,2923
s04-event-statistics-single.xlsx,AOI 002,636
s04-event-statistics-single.xlsx,AOI 001,338
s05-event-statistics-single.xlsx,AOI 003,4465
s05-event-statistics-single.xlsx,AOI 002,475
s05-event-statistics-single.xlsx,AOI 001,40
s06-event-statistics-single.xlsx,AOI 003,3739
s06-event-statistics-single.xlsx,AOI 002,326
s06-event-statistics-single.xlsx,AOI 001,103
s07-event-statistics-single.xlsx,AOI 003,6733
s07-event-statistics-single.xlsx,AOI 002,645
s07-event-statistics-single.xlsx,AOI 001,33
s08-event-statistics-single.xlsx,AOI 003,2619
s08-event-statistics-single.xlsx,AOI 002,154
s08-event-statistics-single.xlsx,AOI 001,36
s09-event-statistics-single.xlsx,AOI 003,5409
s09-event-statistics-single.xlsx,AOI 002,270
s09-event-statistics-single.xlsx,AOI 001,222
s11-event-statistics-single.xlsx,AOI 003,2902
s11-event-statistics-single.xlsx,AOI 002,129
s11-event-statistics-single.xlsx,AOI 001,93
s12-event-statistics-single.xlsx,AOI 003,2158
s12-event-statistics-single.xlsx,AOI 002,48
s12-event-statistics-single.xlsx,AOI 001,3
s13-event-statistics-single.xlsx,AOI 003,3634
s13-event-statistics-single.xlsx,AOI 002,329
s13-event-statistics-single.xlsx,AOI 001,68
s14-event-statistics-single.xlsx,AOI 003,2531
s14-event-statistics-single.xlsx,AOI 002,85
s16-event-statistics-single.xlsx,AOI 003,4210
s16-event-statistics-single.xlsx,AOI 002,218
s16-event-statistics-single.xlsx,AOI 001,117
s18-event-statistics-single.xlsx,AOI 003,1367
s18-event-statistics-single.xlsx,AOI 001,10
s18-event-statistics-single.xlsx,AOI 002,6
s19-event-statistics-single.xlsx,AOI 003,2882
s19-event-statistics-single.xlsx,AOI 001,186
s19-event-statistics-single.xlsx,AOI 002,61
s21-event-statistics-single.xlsx,AOI 003,2658
s21-event-statistics-single.xlsx,AOI 001,349
s21-event-statistics-single.xlsx,AOI 002,26
s23-event-statistics-single.xlsx,AOI 003,6429
s23-event-statistics-single.xlsx,AOI 002,79
s23-event-statistics-single.xlsx,AOI 001,2
s24-event-statistics-single.xlsx,AOI 003,2248
s24-event-statistics-single.xlsx,AOI 002,37
s24-event-statistics-single.xlsx,AOI 001,24
s25-event-statistics-single.xlsx,AOI 003,3466
s25-event-statistics-single.xlsx,AOI 002,110
s25-event-statistics-single.xlsx,AOI 001,101
